height,weight,size
163.2,54.0,xs
169.0,70.1,l
168.2,68.1,m
165.7,86.4,xl
167.2,67.2,l
162.1,55.9,s
162.3,56.6,s
163.3,58.5,m
152.6,62.8,xl
157.0,46.7,xs
161.6,59.9,s
169.0,64.2,m
163.7,81.3,xl
171.8,71.9,l
158.8,54.8,s
152.0,48.5,xs
161.8,65.8,s
163.1,75.3,l
164.2,63.6,l
171.9,75.2,m
171.5,75.5,m
165.3,46.9,xs
159.0,53.7,s
175.1,75.8,l
158.3,67.9,xl
162.7,68.4,m
158.6,67.7,l
167.5,61.7,s
160.6,71.7,l
168.0,64.2,s
177.3,74.0,m
168.0,79.2,xl
164.5,58.1,xs
155.8,72.7,xl
166.5,70.4,l
160.1,65.3,xl
165.8,72.5,l
162.3,72.1,l
166.1,56.1,xs
156.3,58.3,s
163.0,67.7,l
152.8,57.6,m
165.3,55.9,xs
151.2,46.8,s
162.9,56.7,s
167.5,82.0,xl
149.8,66.4,l
153.8,62.6,m
156.7,65.3,m
159.0,53.9,xs
157.3,75.0,xl
159.5,70.4,l
161.0,67.5,xl
156.5,64.0,m
152.3,47.0,xs
157.0,50.2,xs
155.6,59.7,m
159.9,64.6,m
161.1,72.6,xl
168.1,63.1,s
158.5,63.1,l
161.4,66.0,xl
167.4,78.9,m
165.3,53.1,xs
159.3,70.8,xl
159.2,62.5,l
161.7,68.0,l
158.9,73.4,xl
159.7,68.8,l
169.8,84.0,xl
161.9,64.7,s
166.3,56.1,xs
160.6,73.5,xl
160.9,73.3,xl
169.6,60.5,m
172.3,72.2,l
174.8,90.8,xl
169.5,76.0,l
164.8,60.6,m
157.9,57.3,s
158.7,60.2,l
160.4,66.9,xl
160.3,82.9,xl
171.2,76.5,xl
162.8,67.1,l
152.0,58.9,l
164.0,61.5,m
161.6,52.9,xs
168.4,84.7,xl
164.9,59.6,s
167.7,66.6,m
165.3,67.6,l
163.8,65.8,m
164.6,59.6,m
161.9,73.5,xl
153.0,55.6,s
160.3,56.1,s
168.0,56.0,s
160.2,87.1,xl
144.7,73.6,xl
162.7,61.3,s
159.4,50.5,xs
168.8,82.3,xl
154.7,56.1,m
162.1,75.4,xl
162.5,59.3,s
159.7,69.5,l
160.2,82.0,l
161.4,58.3,m
174.3,92.0,xl
160.3,84.1,xl
157.6,84.2,xl
161.9,66.0,l
175.4,89.6,xl
170.9,84.2,xl
178.9,84.5,xl
158.7,59.6,l
168.7,68.8,m
166.5,69.0,m
157.3,74.8,xl
165.4,69.9,m
158.2,69.1,l
157.5,56.6,s
160.0,69.9,l
158.4,46.8,xs
153.5,70.1,m
159.3,83.2,xl
158.3,78.9,xl
160.8,59.2,m
166.3,58.3,m
160.9,74.6,xl
151.3,42.8,xs
170.4,85.3,xl
170.8,66.4,m
150.6,57.7,m
158.3,56.5,m
173.1,71.4,m
166.9,76.2,l
164.0,55.6,m
161.3,56.1,xs
164.0,64.1,m
158.1,76.6,l
166.4,70.2,m
156.2,56.1,s
172.2,81.2,xl
156.4,72.5,l
158.9,68.6,l
178.9,92.4,xl
160.8,66.2,xl
159.5,56.2,s
159.0,56.4,s
157.5,65.3,l
153.9,67.9,l
165.4,77.7,xl
161.6,63.2,m
164.6,69.7,m
154.8,68.1,l
161.7,57.0,xs
152.7,74.2,xl
165.3,58.9,s
160.6,75.0,xl
170.0,74.4,m
167.2,81.5,xl
172.8,76.5,l
167.7,82.7,xl
179.0,79.3,xl
164.3,73.5,l
158.4,62.0,m
158.3,65.9,xl
164.0,70.5,xl
156.2,49.3,xs
165.0,64.3,s
165.6,65.4,m
162.4,65.5,xl
163.1,85.6,xl
171.5,63.2,m
160.7,64.8,s
160.0,60.4,m
157.1,70.2,l
160.3,65.9,m
159.9,77.1,xl
160.2,52.4,s
164.2,68.5,s
171.5,101.7,xl
163.4,48.7,xs
165.7,82.4,xl
162.6,72.4,xl
153.6,61.7,m
169.8,69.6,m
165.2,75.3,m
161.1,78.5,xl
176.4,81.2,l
158.6,48.5,xs
159.2,59.5,s
178.2,74.0,l
170.8,79.9,xl
165.0,64.5,m
161.2,72.5,xl
166.0,60.0,s
162.9,63.0,m
163.0,76.2,xl
174.3,69.6,s
168.8,81.8,xl
158.0,50.8,xs
161.0,66.5,l
155.6,40.0,xs
158.5,73.6,xl
168.5,77.0,xl
159.2,63.0,m
169.8,76.1,l
164.8,69.0,l
157.5,57.3,s
160.2,61.7,m
166.9,66.3,m
163.7,85.0,xl
169.0,60.1,s
166.4,65.5,m
171.0,71.6,xl
159.6,61.1,s
165.6,100.0,xl
158.6,79.1,l
165.3,67.6,l
166.1,74.0,l
149.5,50.1,xs
163.3,58.7,m
165.2,69.6,m
159.6,59.9,s
171.5,80.9,xl
172.4,78.8,xl
174.1,79.7,l
170.7,74.6,m
168.4,74.0,l
158.6,56.9,s
161.1,82.9,xl
165.8,77.0,xl
167.3,75.1,l
177.0,88.9,xl
157.4,66.1,s
171.5,84.2,xl
152.5,55.8,m
165.0,98.3,xl
153.7,53.5,m
156.8,58.1,s
156.9,68.4,m
171.1,72.5,m
163.9,75.7,xl
163.8,73.3,xl
175.6,70.4,m
161.8,59.0,s
174.5,83.5,xl
156.9,63.5,m
166.8,54.6,s
161.9,61.0,s
165.7,82.0,xl
162.8,68.5,m
166.0,57.4,s
168.3,61.6,s
167.2,67.8,m
162.3,55.8,xs
167.2,58.8,s
161.9,59.1,s
155.8,51.1,xs
164.9,59.1,xs
173.0,67.1,s
152.7,52.2,xs
167.0,56.5,s
158.3,77.4,xl
164.3,73.0,l
171.7,66.9,l
162.3,71.8,xl
163.0,59.4,m
171.0,68.0,s
173.0,77.9,xl
172.5,69.5,m
168.0,75.5,l
168.2,64.5,l
168.0,84.3,xl
182.9,68.8,s
167.5,64.3,m
172.7,68.9,l
161.5,65.1,l
149.7,46.0,xs
161.3,61.0,s
177.1,92.5,xl
158.8,66.6,m
173.6,82.1,xl
166.4,59.1,s
158.4,72.2,l
171.2,77.0,xl
165.8,61.7,s
164.6,68.5,m
172.3,68.9,m
157.8,58.7,m
167.1,74.2,l
158.0,82.0,xl
158.4,55.7,s
167.0,64.8,m
158.5,56.6,s
163.8,58.4,m
158.9,59.9,m
165.9,78.5,xl
155.0,65.4,m
173.0,83.8,xl
150.0,64.4,l
161.5,80.9,xl
164.5,67.7,s
172.7,84.7,xl
166.7,78.1,xl
151.9,55.2,m
170.0,83.2,xl
162.8,69.4,s
160.0,78.6,xl
174.7,85.1,xl
158.3,67.8,l
166.2,64.5,s
169.7,61.8,s
173.2,84.3,xl
164.7,79.3,xl
158.9,72.7,xl
154.5,64.5,m
165.9,75.5,xl
152.2,55.5,l
165.1,77.9,l
176.7,76.3,l
160.8,78.5,xl
160.5,71.7,xl
173.4,67.4,l
166.1,73.0,m
158.9,75.4,xl
174.1,77.6,s
167.0,81.0,xl
168.0,66.7,s
173.6,79.1,l
168.2,76.3,xl
171.4,65.0,m
154.6,51.3,xs
163.4,59.1,m
156.8,65.8,l
153.6,50.4,s
158.4,68.5,l
164.6,62.9,l
166.4,56.8,s
165.8,66.1,s
173.8,68.3,s
174.5,79.1,s
159.5,90.7,xl
162.5,78.3,l
162.3,70.9,m
151.8,50.9,s
152.5,62.3,l
155.7,66.4,l
173.0,92.1,xl
160.1,67.1,l
159.7,54.7,xs
174.3,78.4,xl
168.3,59.0,s
175.2,76.3,l
161.8,70.9,m
162.0,70.3,l
164.9,58.1,s
170.9,59.3,s
158.7,75.3,xl
163.2,66.2,m
152.7,68.3,xl
166.0,75.8,xl
163.2,61.3,xs
174.2,73.0,m
170.9,70.0,m
161.9,75.1,l
167.5,73.8,l
163.4,64.2,m
167.9,59.5,s
161.4,56.9,m
168.4,59.6,s
159.7,63.1,m
161.0,58.9,xs
168.8,74.6,l
172.5,86.4,l
160.9,60.8,l
158.5,50.4,s
156.2,54.9,m
154.7,53.0,s
161.1,69.2,l
174.0,71.3,l
155.5,70.5,l
165.0,69.9,xl
158.3,65.9,l
164.7,63.2,s
153.2,69.6,m
161.9,59.3,m
170.4,69.5,l
168.9,79.7,m
165.7,61.9,m
164.7,67.7,m
167.0,54.4,s
149.6,64.6,l
171.7,88.2,xl
153.1,63.4,l
166.6,76.5,xl
157.4,65.4,l
166.3,83.7,l
161.7,65.2,m
158.5,62.4,l
164.7,99.4,xl
164.3,74.8,xl
167.7,64.9,l
167.0,54.2,s
165.1,81.4,l
152.5,56.3,m
171.5,96.7,xl
160.2,83.7,xl
157.0,50.2,xs
166.2,65.7,xl
156.1,70.7,xl
154.3,66.9,xl
156.2,59.7,m
162.7,72.0,l
167.8,75.0,m
160.8,67.3,xl
167.2,78.4,m
166.1,51.6,xs
157.4,63.0,l
167.0,79.3,xl
158.5,56.4,s
157.4,68.7,xl
161.7,59.0,xs
159.2,60.3,s
170.5,69.9,xl
162.0,57.3,m
157.9,65.4,l
166.1,60.3,s
159.5,77.1,xl
164.6,76.7,xl
152.2,66.7,l
176.0,78.3,l
150.5,51.8,s
170.8,66.3,s
165.9,65.5,m
161.3,69.0,l
166.6,68.0,l
156.5,60.9,m
157.8,64.6,s
148.0,54.0,s
163.6,53.0,s
160.8,78.9,l
155.2,43.1,xs
155.9,74.6,l
159.5,71.2,xl
167.4,72.7,l
166.1,61.3,s
155.0,57.4,s
159.7,65.5,m
154.3,57.7,s
163.6,58.5,s
156.3,62.7,l
150.6,53.5,s
168.9,65.2,s
160.0,70.2,l
182.7,93.1,xl
159.4,53.2,xs
176.8,73.5,m
165.8,55.7,s
162.9,65.5,m
167.2,69.1,m
178.3,96.5,xl
157.1,70.2,xl
152.5,52.3,xs
159.5,66.0,l
170.8,81.4,xl
181.8,95.2,xl
168.8,65.8,s
156.8,50.3,xs
155.5,54.7,s
164.5,68.8,l
163.1,60.4,s
156.3,66.9,l
156.6,59.9,s
158.5,61.6,l
151.8,54.8,s
159.0,60.4,xs
146.2,51.9,m
159.9,64.0,xl
166.5,66.9,m
171.2,79.1,xl
163.4,59.8,s
162.8,73.6,m
162.5,82.5,xl
171.8,75.6,l
160.4,59.5,s
174.8,86.3,xl
165.0,68.6,xl
167.9,76.3,xl
163.5,72.5,l
167.3,63.9,s
164.3,55.9,s
169.1,76.4,xl
167.2,69.9,l
163.8,63.0,m
167.6,60.6,xs
165.5,68.0,m
167.5,65.4,m
150.8,53.8,s
167.9,73.1,xl
169.2,76.6,l
163.1,57.7,s
153.3,59.8,m
156.3,68.6,l
165.5,70.8,m
149.6,48.8,xs
177.7,76.6,m
154.6,58.3,s
168.5,68.5,xl
160.8,58.5,s
163.2,71.9,m
169.0,64.9,s
165.5,58.3,xs
157.4,64.8,m
165.9,56.4,s
154.1,47.8,xs
167.5,59.1,s
165.2,66.5,l
159.3,64.9,l
156.5,51.2,s
153.0,49.6,s
160.0,74.4,l
161.5,68.0,m
155.7,50.6,s
167.9,59.1,s
166.2,71.2,m
169.6,84.4,xl
165.7,54.7,s
149.5,48.7,xs
164.4,61.2,m
165.2,72.2,m
156.6,56.7,l
165.3,68.8,m
160.4,54.2,xs
159.4,61.1,s
162.7,67.2,l
172.9,74.9,m
160.2,58.5,s
161.5,60.5,m
164.5,60.1,s
162.3,62.1,m
159.5,60.9,xs
148.0,47.0,xs
169.6,78.6,xl
168.0,72.5,m
159.0,51.6,xs
152.9,50.1,xs
155.1,62.6,m
170.9,78.7,m
158.9,57.2,m
161.6,67.0,m
164.3,53.5,xs
158.7,63.8,s
169.1,75.2,s
155.8,51.9,xs
161.1,60.2,s
172.4,70.1,l
162.3,78.2,l
168.6,61.1,s
158.7,63.1,l
154.6,54.0,xs
168.2,61.9,m
151.9,57.7,m
163.1,67.3,s
152.5,60.8,s
165.7,90.5,xl
165.3,68.2,m
144.7,68.3,xl
161.5,77.8,xl
173.2,64.8,m
173.3,108.2,xl
176.0,87.5,xl
166.9,78.8,xl
160.2,84.4,xl
161.1,66.7,l
160.7,74.9,xl
158.2,82.7,xl
163.6,69.5,l
170.2,69.7,l
159.1,52.8,xs
172.4,78.5,l
165.7,66.9,m
159.1,55.6,m
163.0,84.0,xl
173.0,83.1,xl
169.5,73.5,m
159.8,76.3,l
160.6,63.7,l
164.4,70.0,l
157.5,62.6,m
164.2,60.7,s
161.5,70.5,xl
157.0,68.9,l
160.7,63.3,s
162.6,56.4,xs
172.9,72.9,m
150.1,61.8,m
165.7,61.8,s
161.4,54.6,s
166.0,68.6,m
167.5,64.1,s
163.8,63.5,s
158.4,63.4,m
168.0,68.4,s
166.7,68.0,m
175.8,75.1,m
168.8,85.1,xl
163.6,58.2,m
160.7,70.9,m
159.4,66.4,xl
169.4,75.7,l
160.6,63.2,s
168.7,67.4,m
157.4,60.2,s
160.3,61.6,m
155.9,58.4,s
165.9,71.7,m
161.4,60.6,m
163.0,64.8,m
143.5,47.8,s
167.2,75.1,l
170.8,73.9,l
167.6,68.6,l
160.9,62.0,s
159.0,74.0,xl
162.9,59.8,s
159.8,64.5,m
156.0,56.3,s
168.8,68.6,m
174.5,69.6,s
167.3,63.1,s
166.2,72.9,m
157.6,54.8,s
172.0,65.0,m
170.1,70.0,m
162.0,58.0,s
167.0,73.8,l
163.0,47.8,xs
163.6,58.3,s
171.4,84.9,l
170.2,73.2,m
159.0,60.9,s
164.3,65.4,s
176.9,83.2,l
154.9,59.1,m
153.3,69.5,xl
159.2,60.9,m
160.9,65.0,m
156.9,55.0,s
158.6,65.9,m
157.4,70.1,m
161.7,68.9,l
158.9,60.7,m
167.9,73.6,l
170.0,56.4,xs
162.3,56.6,s
167.7,68.1,s
159.8,66.0,m
162.5,53.6,xs
168.5,64.7,m
168.5,77.6,l
162.3,56.3,xs
167.4,67.5,l
165.3,60.4,m
158.7,54.2,l
159.5,66.4,xl
156.3,74.4,xl
167.4,62.1,m
143.9,58.5,m
171.8,81.0,xl
158.9,51.1,xs
164.5,71.7,xl
167.7,60.7,s
155.2,59.1,m
152.3,63.6,xl
161.2,71.5,xl
164.2,57.4,s
173.2,71.6,m
160.0,54.0,s
140.9,42.6,xs
162.0,58.5,s
174.6,82.8,l
168.8,74.0,m
160.6,76.5,l
165.8,85.2,xl
159.0,67.1,l
178.1,76.0,l
169.0,69.5,l
165.4,75.4,xl
158.3,66.3,l
152.3,48.0,xs
168.5,83.0,xl
167.2,75.6,xl
164.1,78.4,xl
164.4,59.4,s
159.7,76.6,xl
173.2,67.8,s
152.9,51.7,m
162.0,66.2,m
164.3,66.5,l
155.6,61.3,l
163.0,72.9,xl
161.4,70.1,l
146.4,42.6,xs
174.9,72.9,m
161.8,76.1,xl
163.1,71.9,xl
170.4,79.4,xl
166.9,70.5,l
158.6,72.7,xl
160.2,60.9,s
162.0,80.0,xl
157.5,62.5,m
151.3,76.8,xl
157.3,57.8,m
164.9,63.9,m
165.7,74.9,xl
153.8,65.0,l
168.4,63.3,m
155.0,52.6,m
163.0,76.6,xl
169.3,93.4,xl
155.7,66.7,m
162.7,62.2,s
166.6,94.2,xl
159.9,64.1,l
154.7,69.2,xl
163.6,64.6,m
154.7,52.5,s
162.9,49.0,s
156.0,74.9,l
175.1,85.2,xl
162.5,77.2,xl
157.3,64.3,m
159.9,72.2,xl
154.7,69.3,l
173.5,73.7,m
167.0,72.5,xl
167.8,81.6,l
160.4,57.0,m
163.1,66.0,m
168.4,80.4,xl
171.5,85.2,xl
163.5,66.2,xl
166.6,70.6,l
170.5,57.7,s
162.9,52.6,s
171.8,80.8,xl
162.6,83.4,xl
161.6,75.0,l
160.2,61.9,l
166.7,67.5,l
164.5,70.2,l
167.0,65.9,m
162.1,71.2,m
172.1,102.8,xl
160.6,75.9,xl
156.7,65.9,l
172.0,64.4,s
163.9,68.9,l
173.0,86.3,xl
168.2,94.9,xl
172.0,63.0,s
178.3,106.9,xl
164.1,63.9,l
156.8,68.3,l
164.0,63.0,m
155.6,71.8,xl
164.7,87.4,xl
163.0,75.2,l
158.7,85.2,xl
162.7,82.7,xl
163.8,55.9,s
164.4,82.1,xl
160.3,66.3,l
171.3,63.8,m
172.1,79.9,xl
157.3,58.9,s
161.9,76.1,l
152.4,67.2,xl
160.5,54.1,s
161.7,69.7,l
160.1,61.6,l
170.3,85.2,xl
157.4,58.2,s
159.6,74.2,xl
160.2,60.9,s
159.9,69.0,l
163.2,67.5,xl
166.0,88.6,xl
156.8,65.2,m
163.9,82.6,xl
159.1,55.6,s
162.8,71.9,l
161.5,82.2,xl
168.0,96.5,xl
159.0,62.4,l
156.3,43.5,xs
164.1,75.3,xl
171.0,55.3,s
156.6,57.8,m
157.3,71.3,xl
166.9,77.6,xl
160.7,65.5,m
163.3,57.8,s
169.9,84.3,xl
163.8,67.0,l
163.4,76.4,l
166.0,66.3,xs
160.4,67.1,m
169.3,70.6,l
159.5,63.6,m
169.4,64.6,s
162.6,65.8,m
161.3,78.9,l
161.4,58.5,s
163.0,58.9,m
171.6,78.5,xl
151.0,67.6,xl
163.9,86.2,xl
157.6,60.5,l
167.7,95.0,xl
166.9,64.9,m
159.2,61.6,s
160.6,71.5,l
159.7,76.5,xl
161.0,65.2,m
181.1,77.3,l
163.9,73.4,xl
163.5,54.9,s
175.1,80.2,l
162.6,69.5,l
168.8,64.7,m
158.8,65.7,m
163.5,87.1,xl
162.4,58.0,m
163.4,79.6,xl
174.9,76.1,m
164.6,57.6,s
160.0,87.0,xl
160.0,76.6,xl
151.7,54.8,s
165.9,82.6,xl
171.8,65.1,m
153.3,57.0,l
159.2,71.9,xl
163.6,72.6,l
164.8,71.6,l
166.9,83.2,xl
165.5,60.4,m
177.0,76.4,m
175.2,93.4,xl
174.1,57.3,s
160.8,58.2,s
163.6,55.3,s
155.5,69.8,l
157.3,64.0,m
162.3,59.0,xs
153.4,60.4,m
154.3,66.6,l
174.4,67.0,m
162.3,63.3,m
158.7,61.8,m
156.3,64.5,m
165.5,58.2,s
161.2,79.6,xl
163.6,60.9,m
170.9,82.3,xl
154.7,56.7,s
165.7,51.0,s
169.5,60.1,s
172.0,71.6,m
158.7,68.1,m
167.6,94.0,xl
172.6,68.6,m
161.6,67.1,m
174.7,68.9,s
170.5,78.6,xl
168.5,70.4,m
159.4,50.4,xs
168.7,59.8,s
170.0,76.0,l
165.8,78.0,xl
156.2,71.2,l
165.8,66.5,l
168.8,73.5,l
152.4,54.4,s
161.1,67.8,l
162.7,64.8,m
161.4,66.3,l
159.8,77.9,m
164.3,70.2,xl
161.1,59.2,m
152.0,56.3,s
169.7,92.7,xl
164.0,80.1,xl
167.2,77.2,l
166.2,70.4,m
160.1,59.0,s
158.0,64.0,m
167.6,84.2,xl
153.6,54.6,xs
156.1,71.5,l
147.5,57.5,m
153.2,52.2,xs
164.6,72.5,m
165.7,51.7,s
164.8,63.1,m
158.6,53.7,xs
160.9,59.7,s
156.2,60.7,m
150.7,57.7,s
146.8,49.9,s
163.6,68.7,m
158.5,68.0,l
160.7,63.2,m
165.7,77.6,l
160.6,63.8,l
170.5,78.3,xl
160.5,60.2,xs
166.6,77.1,xl
163.5,61.7,m
149.8,46.2,xs
161.9,59.1,xs
155.9,57.4,s
163.9,62.1,s
157.4,61.8,l
153.0,51.8,s
155.2,63.1,m
157.2,65.3,m
167.0,64.6,s
157.4,56.9,xs
163.6,66.1,m
157.5,59.8,m
167.6,53.3,xs
170.5,75.5,xl
160.3,70.2,l
159.3,65.5,m
161.1,64.4,m
167.3,68.0,m
168.9,71.5,s
152.9,49.9,xs
160.2,52.3,s
176.4,74.0,xl
164.8,75.0,xl
158.7,60.4,m
149.2,43.0,xs
156.7,75.0,xl
156.3,71.6,l
166.3,72.3,l
161.7,76.5,xl
168.3,66.0,s
163.6,60.0,s
162.8,69.5,m
153.6,63.7,m
153.0,60.2,l
167.8,81.5,l
168.2,77.3,l
158.5,53.7,xs
158.8,67.2,m
171.8,69.8,m
165.5,80.9,xl
170.5,72.2,m
160.8,63.0,m
160.7,65.4,s
149.0,48.4,xs
156.3,65.3,l
167.7,66.9,m
161.5,66.8,m
157.0,67.2,s
156.3,59.7,m
162.7,65.8,m
174.3,65.7,s
163.5,68.1,l
169.9,89.4,xl
150.3,64.3,s
163.7,85.7,xl
154.4,56.0,xs
149.3,61.3,s
164.5,66.2,l
170.7,71.9,s
161.1,58.6,s
154.3,57.6,s
160.4,56.0,s
158.8,61.6,s
154.3,53.3,xs
163.0,67.8,l
167.4,77.6,m
156.0,65.8,m
162.0,66.6,xl
161.3,54.9,xs
154.1,53.9,m
159.5,81.4,xl
160.0,61.1,s
169.0,77.7,m
161.2,72.5,l
155.9,66.4,l
167.8,80.6,xl
160.8,52.2,s
155.9,47.8,xs
168.3,84.5,xl
158.6,68.5,m
164.6,64.6,m
165.6,67.9,s
151.5,50.9,s
175.4,74.5,m
169.9,67.0,m
157.3,57.3,m
165.7,59.7,s
165.5,66.5,l
150.2,50.5,xs
165.3,74.9,l
163.3,75.6,l
158.5,63.4,m
163.2,76.8,l
161.6,80.4,xl
167.0,76.2,xl
163.2,52.6,s
164.8,65.3,s
157.6,72.6,l
160.6,55.7,s
165.2,59.9,s
162.5,75.9,xl
159.8,60.7,l
161.8,66.9,xl
167.4,69.7,l
156.3,61.4,m
172.8,74.2,l
159.0,67.1,l
163.6,57.7,m
165.5,80.3,xl
170.7,63.4,m
167.6,68.1,m
163.3,73.4,l
160.7,67.2,m
161.8,66.2,l
170.8,70.3,m
173.5,70.9,s
171.5,58.6,xs
157.0,49.3,s
164.2,73.3,m
178.8,99.6,xl
160.0,64.8,m
167.5,72.9,m
163.4,90.2,xl
157.6,75.4,xl
159.9,65.4,m
159.8,70.8,m
154.8,64.7,l
160.7,63.1,s
168.6,66.6,s
164.0,66.7,m
156.3,49.7,xs
159.1,55.8,s
167.8,92.1,xl
167.0,69.5,m
152.9,56.3,m
161.6,60.3,s
162.0,64.7,m
151.0,64.2,m
162.6,70.1,l
160.0,58.3,m
167.9,84.3,xl
160.0,69.6,xl
161.8,73.5,xl
162.9,47.0,xs
165.1,60.8,s
159.6,51.5,xs
165.4,71.7,l
177.6,88.9,xl
154.6,53.2,xs
167.6,74.7,l
158.5,62.2,s
159.4,57.4,s
162.9,56.5,s
158.1,64.6,m
161.4,52.9,s
155.9,64.8,m
169.7,75.1,l
167.4,74.0,l
169.2,75.8,xl
161.5,55.4,s
176.2,85.2,xl
157.3,81.4,xl
167.4,82.4,xl
153.1,50.3,s
150.5,60.7,l
170.0,69.2,m
153.9,64.0,l
162.0,65.0,m
171.2,58.0,xs
155.4,60.1,m
159.8,60.1,xs
161.2,66.4,m
170.7,70.3,s
161.1,61.6,s
159.9,65.4,m
156.9,58.9,xs
166.3,52.4,xs
166.6,70.6,l
165.9,67.6,s
154.3,62.3,l
157.1,62.8,l
161.8,50.3,xs
161.0,59.9,s
151.2,50.8,xs
155.5,52.0,xs
172.9,83.1,xl
159.3,62.2,m
160.9,70.6,l
164.8,66.7,l
163.1,73.0,l
171.2,84.2,xl
154.1,54.9,s
166.3,60.9,s
161.4,67.0,l
159.8,71.1,l
161.7,65.5,m
165.8,77.1,l
164.2,66.8,m
169.8,70.7,m
164.8,75.7,xl
175.6,85.7,l
165.1,67.8,m
163.4,63.0,m
170.9,74.5,s
168.6,56.4,xs
164.5,72.1,l
156.5,64.6,m
153.7,44.4,xs
151.1,59.1,s
164.9,69.6,m
145.8,44.5,xs
175.9,72.6,s
155.8,70.7,l
168.8,64.3,m
158.1,65.4,m
158.3,62.6,m
164.3,73.6,l
175.2,85.3,xl
160.0,75.0,xl
161.8,79.7,xl
171.0,83.7,xl
158.5,59.0,s
159.5,51.2,xs
161.4,62.1,m
166.3,81.0,xl
161.7,61.4,m
159.6,54.4,xs
160.2,60.3,s
169.4,79.2,l
151.0,61.8,l
153.4,60.3,l
